Plot,Rep,Column,Range,Entry,Accession,Rand,Type,Trial,Loc,Entry_no,Survival.autumn.2015,Height.2015,Basal.circumference.2015,Culm.number.2015,Fall.dormancy.date.2015,Frost.Damage.2015,Number.of.Reproductive.Culms.2015,Spring.Re.growth.Date.2016,Frost.Damage.Spring.2016,Survival.spring.2016,Overwintering.Ability.2016,Tiller.Count,Basal.Circ.during.Tiller.Count,First.Heading.Date.2016,X50..Heading.Date.2016,First.Flowering.Date.2016,X50..Flowering.Date.2016,Survival.autumn.2016,Growth.Stage.2016,Compressed.Plant.Circumference.2016,Basal.Circumference.2016,Total.Culm.2016,Repro.Culm.2016,Autumn.Dormancy.Date.2016,Frost.Damage.Autumn.2016,Lodging.2016,Culm.Length.2016,Culm.Outer.Diameter.at.the.Basal.Internode.2016,Culm.Outer.Diameter.at.Last.internode.2016,Culm.Node.Number.2016,Culm.Dry.Weight.2016,Secondary.Stem.Count.2016,Total.Weight.of.Secondary.Stems.2016,Primary.Stem.Weight.2016,Culm.Density.2016,Average.Internode.Length.2016,Biomass.Yield.fresh.weight.2016,Sub.sample.Yield.fresh.weight.2016,Sub.sample.Yield.dry.weight.2016,Moisture.content.2016,Biomass.Yield.dry.weight.2016,Spring.Re.growth.Date.2017,Frost.Damage.Spring.2017,Survival.spring.2017,Overwintering.Ability.2017,First.Heading.Date.2017,X50..Heading.Date.2017,First.Flowering.Date.2017,X50..Flowering.Date.2017,Survival.autumn.2017,Growth.Stage.2017,Compressed.Plant.Circumference.2017,Basal.Circumference.2017,Total.Culm.2017,Repro.Culm.2017,Autumn.Dormancy.Date.2017,Frost.Damage.Autumn.2017,Lodging.2017,CCirc.BCirc.2017,TCmN.Area.2017,Plant.Height.2017,Culm.Length.2017,Culm.Outer.Diameter.at.the.Basal.Internode.2017,Culm.Outer.Diameter.at.Last.internode.2017,Culm.Node.Number.2017,Culm.Dry.Weight.2017,Culm.Density..mass.volume..2017..CmDW.V.,Average.Internode.Length.2017,Biomass.Yield.fresh.weight.2017,Sub.sample.Yield.fresh.weight.2017,Sub.sample.Yield.dry.weight.2017,Moisture.content.2017,Biomass.Yield.dry.weight.2017,Prop.repro.culm.2015,Prop.repro.culm.2016,Prop.repro.culm.2017
1700,4,1,DQ,JY324,JY324,0.043345153,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,842,1,NA,NA,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1701,4,2,DA,JMShira(N24),JMShira(N24),0.044202985,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,325,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,10/21/2016,NA,10/28/2016,NA,1,F,NA,NA,15,1,10/29/2016,9,1,142,NA,2.18,20,58.16,NA,NA,NA,NA,7.1,1415,174,93.3,53.62068966,758.73,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066666667,NA
1702,4,2,DB,RU2012-044,RU2012-044,0.044534824,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,21,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1703,4,2,DC,KMS384,KMS384,0.046962265,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,426,1,NA,NA,2,NA,NA,NA,5/8/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,24,23,9/25/2016,NA,1,210,4.52,2.65,15,14.28,NA,NA,NA,NA,14,415,35,26.5,75.71428571,314.21,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958333333,NA
1704,4,2,DD,JM2014-S-4,JM2014-S-4,0.047594003,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,300,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1705,4,2,DE,JY073,JY073,0.050481629,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,593,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1706,4,2,DF,JY080,JY080,0.052290813,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,600,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1707,4,2,DG,JY106,JY106,0.052904712,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,626,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,4,2,DH,JY138,JY138,0.053997008,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,659,1,NA,NA,2,NA,NA,NA,5/29/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/7/2016,10/28/2016,1,F,NA,NA,30,24,9/25/2016,NA,1,190,6.62,3.92,13,16.02,NA,NA,NA,NA,14.62,950,55,43.4,78.90909091,749.64,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
1709,4,2,DI,JY162,JY162,0.059667918,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,683,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1710,4,2,DJ,KMS257,KMS257,0.059693099,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,349,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,37,33,10/1/2016,NA,1,244,6.28,3.47,18,32.17,NA,NA,NA,NA,13.56,1185,53,41.9,79.05660377,936.82,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891891892,NA
1711,4,2,DK,JM2014-H-64,JM2014-H-64,0.060853167,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,282,1,NA,NA,7,NA,7,NA,5/22/2016,1,1,1,NA,NA,9/16/2016,9/30/2016,9/30/2016,10/14/2016,1,PF,NA,NA,19,17,10/1/2016,NA,1,221,7.8,3.87,22,42.61,NA,NA,NA,NA,10.05,425,60,48.7,81.16666667,344.96,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894736842,NA
1712,4,2,DL,JY072,JY072,0.061873911,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,592,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1713,4,2,DM,KMS316,KMS316,0.06402883,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,371,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,32,23,10/15/2016,5,1,198,6.58,2.44,20,21.78,NA,NA,NA,NA,9.9,1093,63,46.5,73.80952381,806.74,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71875,NA
1714,4,2,DN,RU2012-056.2 (2x),RU2012-056.2 (2x),0.069591017,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,32,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1715,4,2,DO,JPN-2011-003,JPN-2011-003,0.070166254,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,201,1,NA,NA,2,NA,NA,NA,5/8/2016,1,1,1,NA,NA,9/2/2016,10/7/2016,9/16/2016,10/21/2016,1,H,NA,NA,26,1,10/15/2016,5,1,93,5.52,4.57,12,25.33,NA,NA,NA,NA,7.75,70,30,23.7,79,55.3,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038461538,NA
1716,4,2,DP,RU2012-207,RU2012-207,0.071795906,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,159,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,9/2/2016,9/16/2016,9/2/2016,10/7/2016,1,PF,NA,NA,15,12,9/15/2016,NA,1,160,3.79,2.12,11,15.44,NA,NA,NA,NA,14.55,65,40,13.8,34.5,22.43,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
1717,4,2,DQ,RU2012-178,RU2012-178,0.074579251,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,136,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718,4,3,DA,JY204,JY204,0.07479299,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,725,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1719,4,3,DB,UI11-00039,UI11-00039,0.076107947,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,183,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,NR,NA,NA,3,0,NA,8,NA,95,7.83,3.93,18,24.32,NA,NA,NA,NA,5.28,145,27,18.4,68.14814815,98.81,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1720,4,3,DC,KMS448,KMS448,0.078352959,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,490,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721,4,3,DD,KMS403,KMS403,0.078546583,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,445,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1722,4,3,DE,RU2012-104,RU2012-104,0.081150601,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,76,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1723,4,3,DF,RU2012-113,RU2012-113,0.084868666,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,84,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,8/19/2016,8/26/2016,8/26/2016,9/2/2016,1,PF,NA,NA,3,2,9/25/2016,NA,1,113,3.06,1.68,10,2.61,NA,NA,NA,NA,11.3,30,6.4,5,78.125,23.44,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666667,NA
1724,4,3,DG,RU2012-041,RU2012-041,0.087069163,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,19,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1725,4,3,DH,RU2012-202,RU2012-202,0.087298712,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,155,1,NA,NA,NA,NA,NA,NA,5/22/2016,1,1,1,NA,NA,8/26/2016,9/2/2016,9/2/2016,9/9/2016,1,,NA,NA,2,NA,10/1/2016,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1726,4,3,DI,KMS330,KMS330,0.091909463,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,378,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1727,4,3,DJ,JM11-019,JM11-019,0.095111157,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,223,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,10/21/2016,NA,NA,NA,1,F,NA,NA,8,3,NA,8,1,116,6.88,3.38,17,31.91,NA,NA,NA,NA,6.82,250,45,42.3,94,235,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA
1728,4,3,DK,JY187,JY187,0.096245689,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,708,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1729,4,3,DL,RU2012-091,RU2012-091,0.09789539,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,64,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1730,4,3,DM,JM2014-H-62,JM2014-H-62,0.098271707,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,280,1,NA,NA,13,NA,NA,3,5/22/2016,1,1,1,NA,NA,9/9/2016,9/23/2016,9/16/2016,9/30/2016,1,PF,NA,NA,6,1,9/25/2016,NA,1,123,5.35,1.79,14,9.99,NA,NA,NA,NA,8.79,100,30,26.2,87.33333333,87.33,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769231,0.166666667,NA
1731,4,3,DN,RU2012-067,RU2012-067,0.102049493,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,44,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1732,4,3,DO,M. sacchariflorus 'Gotemba Gold'-UI11-00005,UI11-00005,0.113055505,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,171,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,NR,NA,NA,18,0,NA,NA,NA,151,5.6,2.4,18,39.2,NA,NA,NA,NA,8.39,410,70,61,87.14285714,357.29,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1733,4,3,DP,JY260,JY260,0.116742139,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,781,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,8/19/2016,8/26/2016,8/26/2016,9/2/2016,1,PF,NA,NA,21,7,9/25/2016,NA,1,204.3,6.04,3.44,15,18.35,NA,NA,NA,NA,13.62,260,49,41.8,85.30612245,221.8,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,NA
1734,4,3,DQ,KMS265,KMS265,0.117798746,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,354,1,NA,NA,2,NA,NA,NA,5/29/2016,1,1,1,NA,NA,10/7/2016,10/21/2016,10/21/2016,10/28/2016,1,F,NA,NA,8,4,9/25/2016,NA,1,163,4.57,2.01,16,8.6,NA,NA,NA,NA,10.19,155,25,23.2,92.8,143.84,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
1735,4,4,DA,RU2012-205,RU2012-205,0.121925038,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,157,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1736,4,4,DB,JY107,JY107,0.121929136,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,627,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1737,4,4,DC,JY276,JY276,0.123648306,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,797,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1738,4,4,DD,JY049,JY049,0.130592772,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,569,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1739,4,4,DE,JM2014-H-66,JM2014-H-66,0.139893219,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,284,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,8/26/2016,9/2/2016,9/2/2016,9/9/2016,1,PF,NA,NA,55,53,10/1/2016,NA,1,225.3,5.94,3.27,14,40.88,NA,NA,NA,NA,16.09,825,62,53,85.48387097,705.24,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963636364,NA
1740,4,4,DF,RU2012-064,RU2012-064,0.140159797,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,38,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,NR,NA,NA,13,0,NA,NA,NA,122.1,3.7,2.2,13,8.7,NA,NA,NA,NA,9.39,55,50,36,72,39.6,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1741,4,4,DG,RU2012-052,RU2012-052,0.141048724,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,28,1,NA,NA,2,NA,NA,NA,6/6/2016,1,1,1,NA,NA,8/26/2016,9/2/2016,9/2/2016,9/9/2016,1,PF,NA,NA,2,2,10/1/2016,NA,1,135.4,3.2,1.5,10,9.5,NA,NA,NA,NA,13.54,17.6,17.6,16.1,91.47727273,16.1,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1742,4,4,DH,IGR-2011-005,IGR-2011-005,0.14309876,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,40,1,NA,NA,NA,NA,NA,NA,5/29/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,F,NA,NA,21,2,NA,NA,NA,185.2,7.2,3.1,21,93.5,NA,NA,NA,NA,8.82,255,60,49.8,83,211.65,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095238095,NA
1743,4,4,DI,KMS300,KMS300,0.146573234,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,363,1,NA,NA,2,NA,NA,NA,5/22/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/7/2016,10/28/2016,1,F,NA,NA,21,21,10/1/2016,NA,1,174,4.32,1.83,15,10.09,NA,NA,NA,NA,11.6,325,70,57.2,81.71428571,265.57,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
